ctry,station_name,stid
AF,WXPOD 7026,007026nan
AF,WXPOD 7070,007070nan
AF,WXPOD8278,008268nan
AF,WXPOD 8318,008307nan
NO,BOGUS NORWAY,010000nan
NO,JAN MAYEN(NOR-NAVY),010010nan
NO,ROST,010013nan
NO,SORSTOKKEN,010014nan
NO,BRINGELAND,010015nan
NO,RORVIK/RYUM,010016nan
NO,FRIGG,010017nan
NO,VERLEGENHUKEN,010020nan
NO,HORNSUND,010030nan
NO,NY-ALESUND II,010040nan
SV,ISFJORD RADIO,010050nan
NO,EDGEOYA,010060nan
SV,NY-ALESUND,010070nan
SV,LONGYEARBYEN,010071nan
SV,LONGYEAR,010080nan
SV,KARL XII OYA,010090nan
NO,ANDOYA,010100nan
SV,KVITOYA,010110nan
NO,SENJA-LAUKHELLA,010140nan
NO,HEKKINGEN FYR,010150nan
NO,KONGSOYA,010160nan
SV,AKSELOYA,010170nan
NO,GIBOSTAD,010171nan
NO,SVARTTANGEN,010190nan
SV,SORKAPPOYA,010200nan
NO,BARDUFOSS,010230nan
NO,DRAUGEN,010231nan
NO,PYRAMIDEN,010240nan
NO,TROMSO,010250nan
NO,TROMSO,010260nan
NO,TROMSO-HOLT,010270nan
NO,BJORNOYA ISLAND,010280nan
NO,KISTEFJELL,010300nan
NO,TROMSO/SKATTURA,010303nan
NO,OVERBYGD,010320nan
NO,TORSVAG FYR,010330nan
NO,FUGLOYKALVEN FYR,010340nan
NO,LYNGEN GJERDVASSBU,010350nan
NO,OTEREN,010351nan
NO,NORDNESFJELLET,010360nan
NO,SKIBOTIN,010361nan
NO,SKIBOTN 2,010370nan
NO,SKJERVOY,010400nan
NO,NORDREISA-OYENG,010410nan
NO,HASVIK-SLUSKFJELLET,010420nan
NO,ROGNSUNDET,010430nan
NO,LOPPA,010431nan
NO,HASVIK,010435nan
NO,HASVIK,010440nan
NO,NORDSTRAUM I KVAENANGEN,010450nan
NO,SORKJOSEN,010460nan
NO,KAUTOKEINO II,010470nan
NO,ALTA,010490nan
NO,SUOLOVUOPMI,010510nan
NO,HAMMERFEST AP,010520nan
NO,HAMMERFEST RADIO,010530nan
NO,FRUHOLMEN FYR,010550nan
NO,CUOVDDATMOHKKI,010570nan
NO,SUOLOVUOPMI LULIT,010580nan
NO,BANAK,010590nan
NO,BRENNELV,010610nan
NO,OSEBERG,010617nan
NO,HOPEN ISLAND,010620nan
NO,KISTRAND III,010630nan
NO,KARASJOK,010650nan
NO,HELNES FYR,010660nan
NO,LEVAJOK-EVJEN,010670nan
NO,LEVAJOK-EVJEN,010671nan
NO,HONNINGSVAG/VALAN,010680nan
NO,MEHAMN,010740nan
NO,RUSTEFJELBMA,010750nan
NO,TANABRU,010760nan
NO,SLETTNES FYR,010780nan
NO,NYRUD,010820nan
NO,BERLEVAG,010830nan
NO,PASVIK,010840nan
NO,BUGOYFJORD,010850nan
NO,BATSFJORD,010860nan
NO,HEIMDAL OIL PLATFORM,010875nan
NO,NORNE OIL PLATFORM,010876nan
NO,TROLL A  OIL PLATFORM,010877nan
NO,SNORRE A  OIL PLATFORM,010878nan
NO,SNORRE B  OIL PLATFORM,010879nan
NO,VADSO,010880nan
NO,NARVIK III/FRAMNES,010881nan
NO,ROROS,010882nan
NO,SANDANE/ANDA,010883nan
NO,GEITERYGGEN,010884nan
NO,BATSFJORD,010885nan
NO,SLEIPNER A OIL PLATFORM,010886nan
NO,TROLL C OIL PLATFORM,010887nan
NO,HOYBUKTMOEN,010890nan
NO,MAKKAUR FYR,010920nan
NO,SVARTNES,010970nan
NO,VARDO,010980nan
NO,VARDO AP / SVARTNES,010990nan
NO,BOGUS NORWEGIAN,011010nan
NO,SKLINNA FYR,011020nan
NO,HEIDRUN,011025nan
NO,LEKA,011030nan
NO,ROTVAER,011040nan
NO,ROTVAER,011050nan
NO,SKOMVAER (LGT-H),011051nan
NO,ROEST III,011060nan
NO,ROST (NOR-AFB),011070nan
NO,VEGA-VALLSJO,011080nan
NO,SKALVAER,011090nan
NO,YTTERHOLMEN FYR,011100nan
NO,BRONNOYSUND,011110nan
NO,BRONNOY,011120nan
NO,GLOMFJORD,011130nan
NO,DAGALI,011133nan
NO,REIPA,011140nan
NO,MYKEN,011150nan
NO,STOKKA,011160nan
NO,TJOTTA,011170nan
NO,SOLVAER III,011210nan
NO,KJAERSTAD,011220nan
NO,SNASA,011240nan
NO,GLAPEN LIGHTHOUSE,011310nan
NO,MAJAVATN V,011320nan
NO,LAKSFORS,011330nan
NO,MAJAVATN III,011340nan
NO,SELJELIA,011350nan
NO,STOTT,011370nan
NO,TENNHOLMEN (LGT-H),011380nan
NO,VAEROY HELIPORT,011390nan
NO,LEKNES,011410nan
NO,DRAG-AJLUOKTA,011430nan
NO,HELLIGVAER II,011440nan
NO,KVALNES I LOFOTEN,011450nan
NO,SKAMDAL,011460nan
NO,VARNTRESK,011470nan
NO,STORFORSHEI,011480nan
NO,RANA-BASMOEN,011490nan
NO,HJARTASEN,011500nan
NO,HATTFJELLDAL-KRUTA,011501nan
NO,MOIRANA,011510nan
NO,BODO,011520nan
NO,BODO-VAGONES,011530nan
NO,LITLOY FYR,011540nan
NO,BO I VESTERALEN II,011550nan
NO,BO I VESTERALEN,011560nan
NO,SETSA,011580nan
NO,SKROVA FYR,011600nan
NO,SVOLVAER/HELLE,011610nan
NO,STORKMARKNES/SKAGEN,011620nan
NO,BOLNA,011630nan
NO,GROTOY,011650nan
NO,SORTLAND,011670nan
NO,KLEIVA I SORTLAND,011680nan
NO,SALTDAL-NORDNES,011690nan
NO,OVRE SALTDAL,011691nan
NO,FAUSKE-VETEN,011700nan
NO,FINNOY I HAMAROY,011720nan
NO,LODINGEN,011751nan
NO,KONGSVIK,011760nan
NO,HARSTAD,011800nan
NO,EVENSKJER,011820nan
NO,EVENES,011830nan
NO,SANDSOY I SENJA,011840nan
NO,SANDSOY,011841nan
NO,LILAND,011890nan
NO,SKJOMEN-SLETTJORD,011910nan
NO,STRAUMSNES,011920nan
NO,NARVIK III/FRAMNES,011930nan
NO,NARVIK III,011940nan
NO,TENNEVOLL,011960nan
NO,DIVIDALEN II,011980nan
NO,SIHCCAJAVRI,011990nan
NO,KRAKENES,012030nan
NO,SVINOY LH,012050nan
NO,FISKABYGD,012070nan
NO,ORSTA-VOLDA/HOVDEN,012090nan
NO,ORSTA-VOLDA/HOVD,012091nan
NO,VIGRA,012100nan
NO,ONA II,012120nan
NO,REKDAL,012140nan
NO,HJELVIK MYRBO,012150nan
NO,HJELVIK I ROMSDAL,012160nan
NO,GJERMUNDNES,012161nan
NO,ARO,012170nan
NO,TAFJORD,012180nan
NO,MANNEN,012200nan
NO,TAGDALEN,012210nan
NO,KVERNBERGET,012230nan
NO,AALESUND,012240nan
NO,SKALMEN FYR,012241nan
NO,VEIHOLMEN,012250nan
NO,INNERDALEN,012270nan
NO,TINGVOLL-HANEM,012273nan
NO,SULA,012280nan
NO,BJORLI,012300nan
NO,LESJASKOG,012310nan
NO,VINJEORA II,012320nan
NO,DOMBAAS,012330nan
NO,ORKDAL-THAMSHAMN,012340nan
NO,DOMBAS-KIRKENAER,012350nan
NO,KJOREMSGRENDE,012360nan
NO,HITRA,012370nan
NO,FOKSTUA II,012380nan
NO,HJERKINN II,012390nan
NO,HALTEN FYR,012400nan
NO,ORLAND,012410nan
NO,AFJORD II,012420nan
NO,SONGLI,012430nan
NO,OPPDAL-SETER,012450nan
NO,VALLERSUND,012480nan
NO,FOLLDAL-FREDHEIM,012500nan
NO,BERKAK-LYNGHOLT,012520nan
NO,SOKNEDAL,012530nan
NO,KOTSOY,012540nan
NO,TRONDHEIM/VOLL,012570nan
NO,TRONDHEIM (TYHOLT),012580nan
NO,BUHOLMRASA LH,012590nan
NO,NORDOYAN FYR,012620nan
NO,TYNSET-HANSMOEN,012650nan
NO,KVITHAMAR,012700nan
NO,VAERNES,012710nan
NO,FROSTA,012720nan
NO,SELBU,012730nan
NO,SELBU-STUBBE,012740nan
NO,STEINKJER,012770nan
NO,LEVANGER-EGGEN,012771nan
NO,VERDAL-REPPE,012780nan
NO,NAMDALSEID-VENGSTAD,012800nan
NO,NAMSSKOGAN,012810nan
NO,RORVIK/RYUM,012820nan
NO,RORVIK/RYUM,012823nan
NO,SOLENDET,012870nan
NO,ROROS,012880nan
NO,ROROS LUFTHAVN,012890nan
NO,ROROS/AIRPORT,012891nan
NO,NAMSOS AIRPORT,012900nan
NO,GARTLAND,012910nan
NO,MERAKER-UTSYN,012920nan
NO,MERAKER-EGGE,012930nan
NO,HOYLANDET,012950nan
NO,BERG I SNASA,012960nan
NO,NORDLI-HOLAND,012980nan
NO,GULLFAKS C,013000nan
FO,STATFJORD OIL PLATFORM HELIPORT,013005nan
NO,YTTEROYANE FYR,013040nan
NO,HELLISOY FYR,013060nan
NO,FEDJE,013070nan
NO,FURUNESET,013080nan
NO,KINN ISLAND,013090nan
NO,FLORO,013100nan
NO,FLESLAND,013110nan
NO,FOSSMARK,013140nan
NO,EVANGER,013150nan
NO,BERGEN-FREDRIKSBERG,013160nan
NO,BERGEN/FLORIDA,013170nan
NO,SANDANE,013180nan
NO,TAKLE,013190nan
NO,SANDANE/ANDA,013200nan
NO,STRYN,013210nan
NO,FORDE-TEFRE,013220nan
NO,BRINGELAND,013230nan
NO,MODALEN II,013250nan
NO,MODALEN III,013260nan
NO,KVAMSKOGEN-JONSHOGDI,013270nan
NO,KVAMSKOGEN,013280nan
NO,KVAMSOY,013290nan
NO,OMASTRAND,013300nan
NO,FJAERLAND BREMUSEET,013320nan
NO,BULKEN,013360nan
NO,VOSSEVANGEN,013370nan
NO,VANGSNES,013380nan
NO,VANGSNES,013390nan
NO,FET I EIDFJORD,013400nan
NO,EIDFJORD-BU,013410nan
NO,ULLENSVANG,013420nan
NO,MJOLFJELL,013440nan
NO,KLEVAVATNET,013450nan
NO,MIDTSTOVA,013460nan
NO,SOGNDAL HAUKASEN,013470nan
NO,SOGNDAL/HAUKASEN,013471nan
NO,FINSEVATN,013500nan
NO,FINSE III,013510nan
NO,SANDHAUG,013520nan
NO,LAERDAL IV,013550nan
FO,FANNARAKI,013560nan
NO,HOLLEKOLTEN,013570nan
NO,HEMSEDAL II,013580nan
NO,GEILO-OLDEBRATEN,013590nan
NO,HAUGASTOL,013591nan
NO,BRATA-SLETTOM,013600nan
NO,GROTLI III,013610nan
NO,JUVVASSHOE,013620nan
NO,FILEFJELL,013640nan
NO,BEITOSTOLEN II,013650nan
NO,SOGNEFJELL,013660nan
NO,FAGERNES,013670nan
NO,BEITOSTOLEN,013671nan
NO,LEIRIN,013680nan
NO,ABJORSBRATEN,013690nan
NO,SKABU,013700nan
NO,LOKEN I VOLBU,013710nan
NO,NESBYEN-SKOGLUND,013720nan
NO,NESBYEN-TODOKK,013730nan
NO,VEST-TORPA II,013740nan
NO,FAGERNES/LEIRIN   &,013743nan
NO,KVITFJELL,013750nan
NO,GULLFAX (PLATFORM),013755nan
NO,GULSVIK II,013760nan
NO,LILLEHAMMER-SAETHERENGEN,013780nan
NO,SOR-NESSET,013790nan
NO,VENABU,013800nan
NO,KITTILBU,013801nan
NO,APELSVOLL,013810nan
NO,KISE,013820nan
NO,EVENSTAD-DIH,013830nan
NO,HAMAR / STAFSBERG,013839nan
NO,GARDERMOEN,013840nan
NO,HAMER,013850nan
NO,HAMAR II,013860nan
NO,FAVANG,013870nan
NO,RENA AP,013890nan
NO,FLISA,013910nan
NO,FLISA II,013920nan
NO,DREVSJO,013930nan
NO,TRYSIL VEGSTASJON,013970nan
NO,EKOFISK,014000nan
NO,FRIGG,014010nan
NO,UTSIRA FYR,014030nan
NO,EKOFISK OIL PLTFRM,014033nan
NO,KARMOY,014035nan
NO,SLATTEROY FYR,014060nan
NO,KARMOY,014080nan
NO,SKUDENES,014090nan
NO,KVITSOY - NORDBO,014110nan
NO,OBRESTAD,014120nan
NO,SAERHEIM,014130nan
NO,ROVER,014140nan
NO,SOLA,014150nan
NO,STAVANGER VAALAND,014160nan
NO,NEDRE VATS,014170nan
NO,AUSTEVOLL,014180nan
NO,LIARVATN,014190nan
NO,INDRE MATRE,014211nan
NO,FISTER SIGMUNDSTAD,014220nan
NO,FISTER-TONNEVIK,014230nan
NO,SAUDA,014240nan
NO,EIK HOVE,014250nan
NO,EIGEROYA,014260nan
NO,LISTA FYR,014270nan
NO,LISTA,014280nan
NO,ULA OIL PLATFORM,014281nan
NO,MANDAL II,014300nan
NO,SIRDAL-SINNES,014310nan
NO,SIRDAL-TJORHOM,014320nan
NO,FIDJELAND,014321nan
NO,MIDTLAEGER,014330nan
NO,VAAGSLI,014340nan
